Category,Subcategory,Event ID,Message Summary,Minimum Operating System Requirement
Object Access,Other Object Access Events,4698,A scheduled task was created.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4699,A scheduled task was deleted.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4700,A scheduled task was enabled.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4701,A scheduled task was disabled.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,4702,A scheduled task was updated.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,5148,"The Windows Filtering Platform has detected a DoS attack and entered a defensive mode, packets associated with this attack will be discarded.",Windows 7, Windows Server 2008 R2
Object Access,Other Object Access Events,5149,The DoS attack has subsided and normal processing is being resumed.,Windows 7, Windows Server 2008 R2
Object Access,Other Object Access Events,5888,An object in the COM+ Catalog was modified.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,5889,An object was deleted from the COM+ Catalog.,Windows Vista, Windows Server 2008
Object Access,Other Object Access Events,5890,An object was added to the COM+ Catalog.,Windows Vista, Windows Server 2008
Object Access,Registry,4657,A registry value was modified.,Windows Vista, Windows Server 2008
Object Access,Registry,5039,A registry key was virtualized.,Windows Vista, Windows Server 2008
Object Access,Special,4659,A handle to an object was requested with intent to delete.,Windows Vista, Windows Server 2008
Object Access,Special,4660,An object was deleted.,Windows Vista, Windows Server 2008
Object Access,Special,4661,A handle to an object was requested.,Windows Vista, Windows Server 2008
Object Access,Special,4663,An attempt was made to access an object.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4715,The audit policy (SACL) on an object was changed.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4719,System audit policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4817,Auditing settings on an object were changed.,Windows 7, Windows Server 2008 R2
Policy Change,Audit Policy Change,4902,The Per-user audit policy table was created.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4904,An attempt was made to register a security event source.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4905,An attempt was made to unregister a security event source.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4906,The CrashOnAuditFail value has changed.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4907,Auditing settings on object were changed.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4908,Special Groups Logon table modified.,Windows Vista, Windows Server 2008
Policy Change,Audit Policy Change,4912,Per User Audit Policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4713,Kerberos policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4716,Trusted domain information was modified.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4717,System security access was granted to an account.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4718,System security access was removed from an account.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4739,Domain Policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4864,A namespace collision was detected.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4865,A trusted forest information entry was added.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4866,A trusted forest information entry was removed.,Windows Vista, Windows Server 2008
Policy Change,Authentication Policy Change,4867,A trusted forest information entry was modified.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4704,A user right was assigned.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4705,A user right was removed.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4706,A new trust was created to a domain.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4707,A trust to a domain was removed.,Windows Vista, Windows Server 2008
Policy Change,Authorization Policy Change,4714,Encrypted data recovery policy was changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,4709,IPsec Services was started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,4710,IPsec Services was disabled.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,4711,"May contain any one of the following: PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer.
PAStore Engine applied Active Directory storage IPsec policy on the computer.
PAStore Engine applied local registry storage IPsec policy on the computer.
PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer.
PAStore Engine failed to apply Active Directory storage IPsec policy on the computer.
PAStore Engine failed to apply local registry storage IPsec policy on the computer.
PAStore Engine failed to apply some rules of the active IPsec policy on the computer.
PAStore Engine failed to load directory storage IPsec policy on the computer.
PAStore Engine loaded directory storage IPsec policy on the computer.
PAStore Engine failed to load local storage IPsec policy on the computer.
PAStore Engine loaded local storage IPsec policy on the computer.
PAStore Engine polled for changes to the active IPsec policy and detected no changes.",Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,4712,IPsec Services encountered a potentially serious failure.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5040,A change has been made to IPsec settings. An Authentication Set was added.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5041,A change has been made to IPsec settings. An Authentication Set was modified.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5042,A change has been made to IPsec settings. An Authentication Set was deleted.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5043,A change has been made to IPsec settings. A Connection Security Rule was added.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5044,A change has been made to IPsec settings. A Connection Security Rule was modified.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5045,A change has been made to IPsec settings. A Connection Security Rule was deleted.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5046,A change has been made to IPsec settings. A Crypto Set was added.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5047,A change has been made to IPsec settings. A Crypto Set was modified.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5048,A change has been made to IPsec settings. A Crypto Set was deleted.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5440,The following callout was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5441,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5442,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5443,The following provider context was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5444,The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5446,A Windows Filtering Platform callout has been changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5448,A Windows Filtering Platform provider has been changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5449,A Windows Filtering Platform provider context has been changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5450,A Windows Filtering Platform sub-layer has been changed.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5456,PAStore Engine applied Active Directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5457,PAStore Engine failed to apply Active Directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5458,PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5459,PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5460,PAStore Engine applied local registry storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5461,PAStore Engine failed to apply local registry storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5462,PAStore Engine failed to apply some rules of the active IPsec policy on the computer. Use the IP Security Monitor snap-in to diagnose the problem.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5463,PAStore Engine polled for changes to the active IPsec policy and detected no changes.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5464,PAStore Engine polled for changes to the active IPsec policy, detected changes, and applied them to IPsec Services.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5465,PAStore Engine received a control for forced reloading of IPsec policy and processed the control successfully.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5466,PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory cannot be reached, and will use the cached copy of the Active Directory IPsec policy instead. Any changes made to the Active Directory IPsec policy since the last poll could not be applied.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5467,PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory can be reached, and found no changes to the policy. The cached copy of the Active Directory IPsec policy is no longer being used.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5468,PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory can be reached, found changes to the policy, and applied those changes. The cached copy of the Active Directory IPsec policy is no longer being used.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5471,PAStore Engine loaded local storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5472,PAStore Engine failed to load local storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5473,PAStore Engine loaded directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5474,PAStore Engine failed to load directory storage IPsec policy on the computer.,Windows Vista, Windows Server 2008
Policy Change,Filtering Platform Policy Change,5477,PAStore Engine failed to add quick mode filter.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4944,The following policy was active when the Windows Firewall started.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4945,A rule was listed when the Windows Firewall started.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4946,A change has been made to Windows Firewall exception list. A rule was added.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4947,A change has been made to Windows Firewall exception list. A rule was modified.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4948,A change has been made to Windows Firewall exception list. A rule was deleted.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4949,Windows Firewall settings were restored to the default values.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4950,A Windows Firewall setting has changed.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4951,A rule has been ignored because its major version number was not recognized by Windows Firewall.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4952,Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall. The other parts of the rule will be enforced.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4953,A rule has been ignored by Windows Firewall because it could not parse the rule.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4954,Windows Firewall Group Policy settings have changed. The new settings have been applied.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4956,Windows Firewall has changed the active profile.,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4957,Windows Firewall did not apply the following rule:,Windows Vista, Windows Server 2008
Policy Change,MPSSVC Rule-Level Policy Change,4958,Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer:,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,4909,The local policy settings for the TBS were changed.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,4910,The group policy settings for the TBS were changed.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,5063,A cryptographic provider operation was attempted.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,5064,A cryptographic context operation was attempted.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,5065,A cryptographic context modification was attempted.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,5066,A cryptographic function operation was attempted.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,5067,A cryptographic function modification was attempted.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,5068,A cryptographic function provider operation was attempted.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,5069,A cryptographic function property operation was attempted.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,5070,A cryptographic function property modification was attempted.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,5447,A Windows Filtering Platform filter has been changed.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,6144,Security policy in the group policy objects has been applied successfully.,Windows Vista, Windows Server 2008
Policy Change,Other Policy Change Events,6145,One or more errors occurred while processing security policy in the group policy objects.,Windows Vista, Windows Server 2008
Policy Change,Subcategory (special),4670,Permissions on an object were changed.,Windows Vista, Windows Server 2008
Privilege Use,Sensitive Privilege Use / Non Sensitive Privilege Use,4672,Special privileges assigned to new logon.,Windows Vista, Windows Server 2008
Privilege Use,Sensitive Privilege Use / Non Sensitive Privilege Use,4673,A privileged service was called.,Windows Vista, Windows Server 2008
Privilege Use,Sensitive Privilege Use / Non Sensitive Privilege Use,4674,An operation was attempted on a privileged object.,Windows Vista, Windows Server 2008
System,IPsec Driver,4960,IPsec dropped an inbound packet that failed an integrity check. If this problem persists, it could indicate a network issue or that packets are being modified in transit to this computer. Verify that the packets sent from the remote computer are the same as those received by this computer. This error might also indicate interoperability problems with other IPsec implementations.,Windows Vista, Windows Server 2008
System,IPsec Driver,4961,IPsec dropped an inbound packet that failed a replay check. If this problem persists, it could indicate a replay attack against this computer.,Windows Vista, Windows Server 2008
System,IPsec Driver,4962,IPsec dropped an inbound packet that failed a replay check. The inbound packet had too low a sequence number to ensure it was not a replay.,Windows Vista, Windows Server 2008
System,IPsec Driver,4963,IPsec dropped an inbound clear text packet that should have been secured. This is usually due to the remote computer changing its IPsec policy without informing this computer. This could also be a spoofing attack attempt.,Windows Vista, Windows Server 2008
System,IPsec Driver,4965,IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI). This is usually caused by malfunctioning hardware that is corrupting packets. If these errors persist, verify that the packets sent from the remote computer are the same as those received by this computer. This error may also indicate interoperability problems with other IPsec implementations. In that case, if connectivity is not impeded, then these events can be ignored.,Windows Vista, Windows Server 2008
System,IPsec Driver,5478,IPsec Services has started successfully.,Windows Vista, Windows Server 2008
System,IPsec Driver,5479,IPsec Services has been shut down successfully. The shutdown of IPsec Services can put the computer at greater risk of network attack or expose the computer to potential security risks.,Windows Vista, Windows Server 2008
System,IPsec Driver,5480,IPsec Services failed to get the complete list of network interfaces on the computer. This poses a potential security risk because some of the network interfaces may not get the protection provided by the applied IPsec filters. Use the IP Security Monitor snap-in to diagnose the problem.,Windows Vista, Windows Server 2008
System,IPsec Driver,5483,IPsec Services failed to initialize RPC server. IPsec Services could not be started.,Windows Vista, Windows Server 2008
System,IPsec Driver,5484,IPsec Services has experienced a critical failure and has been shut down. The shutdown of IPsec Services can put the computer at greater risk of network attack or expose the computer to potential security risks.,Windows Vista, Windows Server 2008
System,IPsec Driver,5485,IPsec Services failed to process some IPsec filters on a plug-and-play event for network interfaces. This poses a potential security risk because some of the network interfaces may not get the protection provided by the applied IPsec filters. Use the IP Security Monitor snap-in to diagnose the problem.,Windows Vista, Windows Server 2008
System,Other System Events,5024,The Windows Firewall Service has started successfully.,Windows Vista, Windows Server 2008
System,Other System Events,5025,The Windows Firewall Service has been stopped.,Windows Vista, Windows Server 2008
System,Other System Events,5027,The Windows Firewall Service was unable to retrieve the security policy from the local storage. The service will continue enforcing the current policy.,Windows Vista, Windows Server 2008
System,Other System Events,5028,The Windows Firewall Service was unable to parse the new security policy. The service will continue with currently enforced policy.,Windows Vista, Windows Server 2008
System,Other System Events,5029,The Windows Firewall Service failed to initialize the driver. The service will continue to enforce the current policy.,Windows Vista, Windows Server 2008
System,Other System Events,5030,The Windows Firewall Service failed to start.,Windows Vista, Windows Server 2008
System,Other System Events,5032,Windows Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network.,Windows Vista, Windows Server 2008
System,Other System Events,5033,The Windows Firewall Driver has started successfully.,Windows Vista, Windows Server 2008
System,Other System Events,5034,The Windows Firewall Driver has been stopped.,Windows Vista, Windows Server 2008
System,Other System Events,5035,The Windows Firewall Driver failed to start.,Windows Vista, Windows Server 2008
System,Other System Events,5037,The Windows Firewall Driver detected critical runtime error. Terminating.,Windows Vista, Windows Server 2008
System,Other System Events,5058,Key file operation.,Windows Vista, Windows Server 2008
System,Other System Events,5059,Key migration operation.,Windows Vista, Windows Server 2008
System,Security State Change,4608,Windows is starting up.,Windows Vista, Windows Server 2008
System,Security State Change,4609,Windows is shutting down.,Windows Vista, Windows Server 2008
System,Security State Change,4616,The system time was changed.,Windows Vista, Windows Server 2008
System,Security State Change,4621,Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded.,Windows Vista, Windows Server 2008
System,Security System Extension,4610,An authentication package has been loaded by the Local Security Authority.,Windows Vista, Windows Server 2008
System,Security System Extension,4611,A trusted logon process has been registered with the Local Security Authority.,Windows Vista, Windows Server 2008
System,Security System Extension,4614,A notification package has been loaded by the Security Account Manager.,Windows Vista, Windows Server 2008
System,Security System Extension,4622,A security package has been loaded by the Local Security Authority.,Windows Vista, Windows Server 2008
System,Security System Extension,4697,A service was installed in the system.,Windows Vista, Windows Server 2008
System,System Integrity,4612,Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.,Windows Vista, Windows Server 2008
System,System Integrity,4615,Invalid use of LPC port.,Windows Vista, Windows Server 2008
System,System Integrity,4618,A monitored security event pattern has occurred.,Windows Vista, Windows Server 2008
System,System Integrity,4816,RPC detected an integrity violation while decrypting an incoming message.,Windows Vista, Windows Server 2008
System,System Integrity,5038,Code integrity determined that the image hash of a file is not valid. The file could be corrupt due to unauthorized modification or the invalid hash could indicate a potential disk device error.,Windows Vista, Windows Server 2008
System,System Integrity,5056,A cryptographic self test was performed.,Windows Vista, Windows Server 2008
System,System Integrity,5057,A cryptographic primitive operation failed.,Windows Vista, Windows Server 2008
System,System Integrity,5060,Verification operation failed.,Windows Vista, Windows Server 2008
System,System Integrity,5061,Cryptographic operation.,Windows Vista, Windows Server 2008
System,System Integrity,5062,A kernel-mode cryptographic self test was performed.,Windows Vista, Windows Server 2008
System,System Integrity,6281,Code Integrity determined that the page hashes of an image file are not valid. The file could be improperly signed without page hashes or corrupt due to unauthorized modification. The invalid hashes could indicate a potential disk device error,Windows 7, Windows Server 2008 R2
System,Other System Events,6400,BranchCache: Received an incorrectly formatted response while discovering availability of content. ,Windows 7, Windows Server 2008 R2
System,Other System Events,6401,BranchCache: Received invalid data from a peer. Data discarded. ,Windows 7, Windows Server 2008 R2
System,Other System Events,6402,BranchCache: The message to the hosted cache offering it data is incorrectly formatted. ,Windows 7, Windows Server 2008 R2
System,Other System Events,6403,BranchCache: The hosted cache sent an incorrectly formatted response to the client.,Windows 7, Windows Server 2008 R2
System,Other System Events,6404,BranchCache: Hosted cache could not be authenticated using the provisioned SSL certificate. ,Windows 7, Windows Server 2008 R2
System,Other System Events,6405,BranchCache: %2 instance(s) of event id %1 occurred.,Windows 7, Windows Server 2008 R2
System,Other System Events,6406,%1 registered to Windows Firewall to control filtering for the following: %2,Windows 7, Windows Server 2008 R2
System,Other System Events,6407,1%,Windows 7, Windows Server 2008 R2
System,Other System Events,6408,Registered product %1 failed and Windows Firewall is now controlling the filtering for %2,Windows 7, Windows Server 2008 R2
